Name,Location,URL,Cuisine,Award,Price,Address
"Alice, le bistrot - Le Manoir de la Mortière","Les Sables-d'Olonne, France",https://guide.michelin.com/en/pays-de-la-loire/les-sables-d-olonne/restaurant/alice-le-bistrot-le-manoir-de-la-mortiere,Traditional Cuisine,Selected Restaurants,,"1 rue Eugène-Nauleau, Les Sables-d'Olonne, 85340, France"
Argile,"Paris, France",https://guide.michelin.com/en/ile-de-france/paris/restaurant/argile-1218988,Modern Cuisine,Selected Restaurants,,"4 rue de Milan, Paris, 75009, France"
Chez Pierrette,"Meilhan-sur-Garonne, France",https://guide.michelin.com/en/nouvelle-aquitaine/meilhan-sur-garonne_1487757/restaurant/chez-pierrette,Modern Cuisine,Selected Restaurants,,"1 rue de la Roque, Meilhan-sur-Garonne, 47180, France"
Franchino,"Praiano, Italy",https://guide.michelin.com/en/campania/praiano/restaurant/franchino,"Seafood, Classic Cuisine",Selected Restaurants,,"Via Roma 10, Praiano, 84010, Italy"
Song Yuan,"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/song-yuan,Cantonese,Bib Gourmand,,"A101-201, LYK Park, 14-1 Hedong Road, Liwan, Guangzhou, China Mainland"
Nannini,"Livorno, Italy",https://guide.michelin.com/en/toscana/livorno/restaurant/nannini,"Seafood, Modern Cuisine",Selected Restaurants,,"piazza Bartolommei 1, Livorno, 57128, Italy"
Brutal,"Lyon, France",https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/brutal-1219189,Modern Cuisine,Selected Restaurants,,"3 rue des Remparts-d'Ainay, Lyon, 69002, France"
Il Salotto Atelier Gourmet,"Rapallo, Italy",https://guide.michelin.com/en/liguria/rapallo/restaurant/il-salotto-atelier-gourmet,"Seafood, Mediterranean Cuisine",Selected Restaurants,,"lungomare Vittorio Veneto 42, Rapallo, 16035, Italy"
Taste Soar × Da Tou Hui,"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/taste-soar-%C3%97-da-tou-hui,Cantonese,Bib Gourmand,,"2F, 20 Haiwen Road, Zhujiang New Town, Tianhe, Guangzhou, China Mainland"
Delightful House,"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/delightful-house,Cantonese,Selected Restaurants,,"153 Hanxi Avenue Middle, Panyu, Guangzhou, China Mainland"
