Name,Location,URL,Cuisine,Award,Price,Address
La Durée,"Izegem, Belgium",https://guide.michelin.com/en/west-vlaanderen/izegem/restaurant/la-duree,"Creative, Modern Cuisine",2 Stars,€€€€,"Leenstraat 28, Izegem, 8870, Belgium"
Het Gebaar,"Antwerpen, Belgium",https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/het-gebaar,"Creative, Asian Influences",1 Star,€€€€,"Leopoldstraat 24, Antwerpen, 2000, Belgium"
Souvenir,"Gent, Belgium",https://guide.michelin.com/en/oost-vlaanderen/gent/restaurant/souvenir,"Creative, Organic",1 Star,€€€,"Brabantdam 134, Gent, 9000, Belgium"
EntreNos,"Miami, USA",https://guide.michelin.com/en/florida/miami/restaurant/entrenos,Contemporary,1 Star,$$$$,"9840 N.E. 2nd Ave., Miami, 33138, USA"
La Vieille Tour,"Cellettes, France",https://guide.michelin.com/en/centre-val-de-loire/cellettes/restaurant/la-vieille-tour70104,Modern Cuisine,1 Star,€€€,"7 rue Nationale, Cellettes, 41120, France"
La Table de Tourrel,"Saint-Rémy-de-Provence, France",https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-rmy-de-provence/restaurant/restaurant-de-tourrel,Modern Cuisine,1 Star,€€€€,"5 rue Carnot, Saint-Rémy-de-Provence, 13210, France"
Pourquoi Pas,"Dinard, France",https://guide.michelin.com/en/bretagne/dinard/restaurant/le-pourquoi-pas,Modern Cuisine,1 Star,€€€€,"Hôtel Castelbrac, 17 avenue George-V, Dinard, 35800, France"
Hiramatsu Kodaiji,"Kyoto, Japan",https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/hiramatsu-kodaiji,French,1 Star,¥¥¥,"353 Masuyacho, Higashiyama-ku, Kyoto, 605-0826, Japan"
Zuicho,"Hong Kong, Hong Kong SAR China",https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/zuicho,Japanese,1 Star,$$$$,"GF, The Mercer Central, 29 Jervois Street, Sheung Wan, Hong Kong, Hong Kong SAR China"
Ling Long,"Beijing, China Mainland",https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/ling-long,Innovative,1 Star,¥¥¥,"3F, STEY-Sanlitun Hotel, BEI Zhaolong, 2 Gongrentiyuchang North Road, Chaoyang, Beijing, China Mainland"
La Maison de Win,"Taichung, Taiwan",https://guide.michelin.com/en/taichung-region/taichung/restaurant/la-maison-de-win,Taiwanese contemporary,1 Star,$$$,"636, Section 2, Wenxin Road, Xitun District, Taichung, Taiwan"
Sushi Ginza Onodera,"West Hollywood, USA",https://guide.michelin.com/en/california/west-hollywood/restaurant/sushi-ginza-onodera-559850,"Japanese, Sushi",1 Star,$$$$,"609 N. La Cienega Blvd., West Hollywood, 90069, USA"
La Table de Léo,"Saint-Avit-Sénieur, France",https://guide.michelin.com/en/nouvelle-aquitaine/saint-avit-snieur/restaurant/la-table-de-leo,Modern Cuisine,Bib Gourmand,€€,"13 rue de l'Abbaye (Le Bourg), Saint-Avit-Sénieur, 24440, France"
Maison Vidal - Le Bistrot de Justin,"Saint-Julien-Chapteuil, France",https://guide.michelin.com/en/auvergne-rhone-alpes/saint-julien-chapteuil/restaurant/vidal,Traditional Cuisine,Bib Gourmand,€€,"Place du Marché, Saint-Julien-Chapteuil, 43260, France"
FAGP,"Seoul, South Korea",https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/fagp,Italian,Bib Gourmand,₩₩,"136 Wangsimni-ro, Seongdong-gu, Seoul, 04789, South Korea"
Sharikimon Chawambu,"Tokyo, Japan",https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/sharikimon-chawambu,Tonkatsu,Bib Gourmand,¥¥,"3-22 Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan"
Bistro TWO,"Roermond, Netherlands",https://guide.michelin.com/en/limburg/roermond/restaurant/bistro-two,Farm to table,Bib Gourmand,€€,"Roerkade 11, Roermond, 6041 KZ, Netherlands"
iTalico,"Palo Alto, USA",https://guide.michelin.com/en/california/palo-alto/restaurant/italico,"Italian, Regional Cuisine",Bib Gourmand,$$,"341 California Ave., Palo Alto, 94306, USA"
Father’s Office,"Los Angeles, USA",https://guide.michelin.com/en/california/us-los-angeles/restaurant/father%E2%80%99s-office,Gastropub,Bib Gourmand,$$,"3229 Helms Ave., Los Angeles, 90034, USA"
Kettner Exchange,"San Diego, USA",https://guide.michelin.com/en/california/us-san-diego/restaurant/kettner-exchange,"Contemporary, American Contemporary",Bib Gourmand,$$,"2001 Kettner Blvd., San Diego, 92101, USA"
Taquería El Paisa,"Oakland, USA",https://guide.michelin.com/en/california/oakland/restaurant/taqueria-el-paisa,Mexican,Bib Gourmand,$,"4610 International Blvd., Oakland, 94601, USA"
Sichuan Home,"San Francisco, USA",https://guide.michelin.com/en/california/san-francisco/restaurant/sichuan-home,"Chinese, Sichuan",Bib Gourmand,$$,"5037 Geary Blvd., San Francisco, 94118, USA"
Frank Fat’s,"Sacramento, USA",https://guide.michelin.com/en/california/us-sacramento/restaurant/frank-fat%E2%80%99s,Chinese,Bib Gourmand,$$,"806 L St., Sacramento, 95814, USA"
Millennium,"Oakland, USA",https://guide.michelin.com/en/california/oakland/restaurant/millennium,Vegan,Bib Gourmand,$$,"5912 College Ave., Oakland, 94618, USA"
Pijja Palace,"Los Angeles, USA",https://guide.michelin.com/en/california/us-los-angeles/restaurant/pijja-palace,"Fusion, Indian",Bib Gourmand,$$,"2711 Sunset Blvd., Los Angeles, 90026, USA"
Fa Sing Garden (Jinsui Road),"Guangzhou, China Mainland",https://guide.michelin.com/en/guangdong-province/guangzhou/restaurant/huacheng-yuan,Cantonese,Bib Gourmand,¥¥,"5F, Grand Mercure, 62 Jinsui Road, Zhujiang New Town, Tianhe, Guangzhou, China Mainland"
ESSENCE,"Munich, Germany",https://guide.michelin.com/en/bayern/mnchen/restaurant/essence,"Classic Cuisine, Contemporary",Selected Restaurants,€€€,"Gottfried-Keller-Straße 35, Munich, 81245, Germany"
[KOOK] 36,"Deggendorf, Germany",https://guide.michelin.com/en/bayern/deggendorf_1282003/restaurant/kook-36,"Asian, Modern Cuisine",Selected Restaurants,€€€€,"Oberer Stadtplatz 18, Deggendorf, 94469, Germany"
REISERS Zehnthof,"Nordheim am Main, Germany",https://guide.michelin.com/en/bayern/nordheim-am-main/restaurant/reisers-zehnthof,"Regional Cuisine, Farm to table",Selected Restaurants,€€,"Langgasse 33, Nordheim am Main, 97334, Germany"
